date , num-hits
2025-04-01 , 1448283
2025-04-02 , 1284992
2025-04-03 , 3030292
2025-04-04 , 2669680
2025-04-05 , 1191706
2025-04-06 , 1188862
2025-04-07 , 1326199
2025-04-08 , 1281099
2025-04-09 , 1444103
2025-04-10 , 1364919
2025-04-11 , 1375117
2025-04-12 , 1193314
2025-04-13 , 1147858
2025-04-14 , 1296585
2025-04-15 , 1214561
2025-04-16 , 1227368
2025-04-17 , 1297980
2025-04-18 , 1237764
2025-04-19 , 1227355
2025-04-20 , 1194764
2025-04-21 , 1414516
2025-04-22 , 1647486
2025-04-23 , 1502089
2025-04-24 , 2330255
2025-04-25 , 2335971
2025-04-26 , 1466964
2025-04-27 , 1162814
2025-04-28 , 1326847
2025-04-29 , 1447703
2025-04-30 , 1324733
