date , sc-status , num-hits
2025-04-01 , 200 , 1293081
2025-04-01 , 206 , 1363
2025-04-01 , 301 , 106210
2025-04-01 , 302 , 16377
2025-04-01 , 304 , 5643
2025-04-01 , 400 , 22
2025-04-01 , 401 , 71
2025-04-01 , 403 , 3
2025-04-01 , 404 , 24029
2025-04-01 , 405 , 1
2025-04-01 , 406 , 2
2025-04-01 , 416 , 2
2025-04-01 , 500 , 1479
2025-04-02 , 200 , 1188659
2025-04-02 , 206 , 1223
2025-04-02 , 301 , 47642
2025-04-02 , 302 , 17951
2025-04-02 , 304 , 5540
2025-04-02 , 400 , 9
2025-04-02 , 401 , 168
2025-04-02 , 404 , 22754
2025-04-02 , 405 , 20
2025-04-02 , 406 , 6
2025-04-02 , 416 , 2
2025-04-02 , 417 , 1
2025-04-02 , 500 , 1017
2025-04-03 , 200 , 2942280
2025-04-03 , 206 , 595
2025-04-03 , 301 , 37709
2025-04-03 , 302 , 17984
2025-04-03 , 304 , 7747
2025-04-03 , 400 , 4
2025-04-03 , 401 , 111
2025-04-03 , 404 , 22487
2025-04-03 , 406 , 3
2025-04-03 , 416 , 5
2025-04-03 , 500 , 1367
2025-04-04 , 200 , 2583293
2025-04-04 , 206 , 884
2025-04-04 , 301 , 35833
2025-04-04 , 302 , 24055
2025-04-04 , 304 , 5719
2025-04-04 , 400 , 42
2025-04-04 , 401 , 85
2025-04-04 , 404 , 19297
2025-04-04 , 416 , 1
2025-04-04 , 500 , 471
2025-04-05 , 200 , 1118897
2025-04-05 , 206 , 779
2025-04-05 , 301 , 30438
2025-04-05 , 302 , 23992
2025-04-05 , 304 , 2280
2025-04-05 , 400 , 7
2025-04-05 , 401 , 46
2025-04-05 , 403 , 1
2025-04-05 , 404 , 14524
2025-04-05 , 406 , 2
2025-04-05 , 416 , 1
2025-04-05 , 500 , 739
2025-04-06 , 200 , 1120487
2025-04-06 , 206 , 889
2025-04-06 , 301 , 27536
2025-04-06 , 302 , 20019
2025-04-06 , 304 , 2790
2025-04-06 , 400 , 18
2025-04-06 , 401 , 26
2025-04-06 , 403 , 1
2025-04-06 , 404 , 16681
2025-04-06 , 406 , 1
2025-04-06 , 416 , 2
2025-04-06 , 500 , 412
2025-04-07 , 200 , 1241211
2025-04-07 , 206 , 800
2025-04-07 , 301 , 32462
2025-04-07 , 302 , 21612
2025-04-07 , 304 , 7461
2025-04-07 , 400 , 2
2025-04-07 , 401 , 89
2025-04-07 , 403 , 5
2025-04-07 , 404 , 21886
2025-04-07 , 416 , 4
2025-04-07 , 500 , 667
2025-04-08 , 200 , 1202492
2025-04-08 , 206 , 740
2025-04-08 , 301 , 29241
2025-04-08 , 302 , 20583
2025-04-08 , 304 , 6506
2025-04-08 , 400 , 38
2025-04-08 , 401 , 98
2025-04-08 , 403 , 1
2025-04-08 , 404 , 19277
2025-04-08 , 406 , 2
2025-04-08 , 416 , 8
2025-04-08 , 500 , 2113
2025-04-09 , 200 , 1356059
2025-04-09 , 206 , 743
2025-04-09 , 301 , 38194
2025-04-09 , 302 , 21972
2025-04-09 , 304 , 5119
2025-04-09 , 400 , 16
2025-04-09 , 401 , 131
2025-04-09 , 403 , 8
2025-04-09 , 404 , 20413
2025-04-09 , 406 , 3
2025-04-09 , 416 , 5
2025-04-09 , 500 , 1440
2025-04-10 , 200 , 1270890
2025-04-10 , 206 , 682
2025-04-10 , 301 , 41591
2025-04-10 , 302 , 23226
2025-04-10 , 304 , 5088
2025-04-10 , 400 , 114
2025-04-10 , 401 , 92
2025-04-10 , 403 , 13
2025-04-10 , 404 , 22352
2025-04-10 , 406 , 3
2025-04-10 , 416 , 1
2025-04-10 , 500 , 867
2025-04-11 , 200 , 1285314
2025-04-11 , 206 , 738
2025-04-11 , 301 , 42064
2025-04-11 , 302 , 19867
2025-04-11 , 304 , 5519
2025-04-11 , 400 , 198
2025-04-11 , 401 , 74
2025-04-11 , 404 , 20496
2025-04-11 , 406 , 1
2025-04-11 , 416 , 2
2025-04-11 , 500 , 844
2025-04-12 , 200 , 1125972
2025-04-12 , 206 , 435
2025-04-12 , 301 , 31522
2025-04-12 , 302 , 17650
2025-04-12 , 304 , 2243
2025-04-12 , 400 , 23
2025-04-12 , 401 , 50
2025-04-12 , 404 , 14412
2025-04-12 , 406 , 2
2025-04-12 , 416 , 3
2025-04-12 , 500 , 1002
2025-04-13 , 200 , 1076041
2025-04-13 , 206 , 838
2025-04-13 , 301 , 35092
2025-04-13 , 302 , 15365
2025-04-13 , 304 , 2399
2025-04-13 , 400 , 6
2025-04-13 , 401 , 5
2025-04-13 , 403 , 1
2025-04-13 , 404 , 17362
2025-04-13 , 406 , 2
2025-04-13 , 416 , 1
2025-04-13 , 500 , 746
2025-04-14 , 200 , 1203723
2025-04-14 , 206 , 772
2025-04-14 , 301 , 37925
2025-04-14 , 302 , 24027
2025-04-14 , 304 , 6344
2025-04-14 , 400 , 8
2025-04-14 , 401 , 29
2025-04-14 , 403 , 4
2025-04-14 , 404 , 22953
2025-04-14 , 416 , 2
2025-04-14 , 417 , 1
2025-04-14 , 500 , 797
2025-04-15 , 200 , 1113811
2025-04-15 , 206 , 725
2025-04-15 , 301 , 45053
2025-04-15 , 302 , 26634
2025-04-15 , 304 , 6600
2025-04-15 , 400 , 3
2025-04-15 , 401 , 128
2025-04-15 , 404 , 21002
2025-04-15 , 406 , 4
2025-04-15 , 416 , 4
2025-04-15 , 500 , 597
2025-04-16 , 200 , 1124591
2025-04-16 , 206 , 422
2025-04-16 , 301 , 53829
2025-04-16 , 302 , 22805
2025-04-16 , 304 , 5153
2025-04-16 , 400 , 47
2025-04-16 , 401 , 84
2025-04-16 , 403 , 2
2025-04-16 , 404 , 19217
2025-04-16 , 405 , 1
2025-04-16 , 416 , 4
2025-04-16 , 500 , 1213
2025-04-17 , 200 , 1190639
2025-04-17 , 206 , 818
2025-04-17 , 301 , 49123
2025-04-17 , 302 , 25467
2025-04-17 , 304 , 4981
2025-04-17 , 400 , 264
2025-04-17 , 401 , 65
2025-04-17 , 403 , 20
2025-04-17 , 404 , 21618
2025-04-17 , 406 , 7
2025-04-17 , 416 , 1
2025-04-17 , 500 , 4977
2025-04-18 , 200 , 1154459
2025-04-18 , 206 , 451
2025-04-18 , 301 , 41599
2025-04-18 , 302 , 18565
2025-04-18 , 304 , 3083
2025-04-18 , 400 , 36
2025-04-18 , 401 , 70
2025-04-18 , 403 , 2
2025-04-18 , 404 , 18166
2025-04-18 , 500 , 1333
2025-04-19 , 200 , 1159126
2025-04-19 , 206 , 414
2025-04-19 , 301 , 32674
2025-04-19 , 302 , 18768
2025-04-19 , 304 , 2412
2025-04-19 , 400 , 4
2025-04-19 , 401 , 68
2025-04-19 , 403 , 2
2025-04-19 , 404 , 13030
2025-04-19 , 406 , 1
2025-04-19 , 500 , 856
2025-04-20 , 200 , 1138241
2025-04-20 , 206 , 1715
2025-04-20 , 301 , 21176
2025-04-20 , 302 , 17347
2025-04-20 , 304 , 2262
2025-04-20 , 400 , 6
2025-04-20 , 401 , 72
2025-04-20 , 403 , 1
2025-04-20 , 404 , 13263
2025-04-20 , 406 , 3
2025-04-20 , 416 , 1
2025-04-20 , 417 , 1
2025-04-20 , 500 , 676
2025-04-21 , 200 , 1259951
2025-04-21 , 206 , 1845
2025-04-21 , 301 , 36944
2025-04-21 , 302 , 57468
2025-04-21 , 304 , 3418
2025-04-21 , 400 , 5
2025-04-21 , 401 , 175
2025-04-21 , 403 , 4
2025-04-21 , 404 , 21851
2025-04-21 , 406 , 3
2025-04-21 , 416 , 3
2025-04-21 , 500 , 32849
2025-04-22 , 200 , 1496673
2025-04-22 , 206 , 1110
2025-04-22 , 301 , 69859
2025-04-22 , 302 , 39401
2025-04-22 , 304 , 6417
2025-04-22 , 400 , 56
2025-04-22 , 401 , 82
2025-04-22 , 403 , 4
2025-04-22 , 404 , 22028
2025-04-22 , 405 , 1
2025-04-22 , 406 , 7
2025-04-22 , 416 , 3
2025-04-22 , 500 , 11845
2025-04-23 , 200 , 1274854
2025-04-23 , 206 , 837
2025-04-23 , 301 , 49872
2025-04-23 , 302 , 110841
2025-04-23 , 304 , 8399
